StudentRef,final_cgpa,avg_gpa,min_gpa,total_semesters,failed_courses,final_major,proposed_major,math_score,english_score,composite_score,has_ajc_case,major_changed,successful_major,delayed_grad,first_year_gpa_x,struggling_y1_x,first_year_gpa_y,struggling_y1_y,first_year_gpa,struggling_y1,final_major_name,proposed_major_norm,final_major_norm,final_major_text
S00039f6fd1b74390,3.8,3.7983870967741935,3.65,186,0,6,[B.Sc.] Mechanical Engineering,80.0,100.0,90.0,0.0,0,1,1,,,,,3.834,0.0,2,me,me,[B.Sc.] Mechanical Engineering
S0021eb5e8ac9bfec,3.35,3.285263157894737,2.83,342,0,5,[B.Sc.] Management Information Systems,75.0,90.0,82.5,0.0,0,1,1,,,,,3.306875,0.0,6,mis,mis,[B.Sc.] Management Information Systems
S00364db68c4f235e,3.44,3.4450000000000003,3.39,20,0,6,[B.Sc.] Mechanical Engineering,100.0,100.0,98.8888888888889,0.0,0,1,1,,,,,3.5,0.0,2,me,me,[B.Sc.] Mechanical Engineering
S003e475aa47d58dc,3.07,2.98125,2.33,320,0,2,[B.Sc.] Computer Science,100.0,100.0,95.55555555555556,0.0,0,1,1,,,,,2.987142857142857,0.0,2,cs,cs,[B.Sc.] Computer Science
S007ec4aa50afde04,3.41,3.4078048780487804,3.0,328,0,1,[B.Sc.] Computer Engineering,85.0,,90.0,0.0,0,1,1,,,,,3.343783783783784,0.0,4,ce,ce,[B.Sc.] Computer Engineering
S008cc478c4b068aa,2.77,2.6471052631578944,1.72,342,0,2,[B.Sc.] Computer Science,100.0,90.0,96.66666666666667,0.0,0,0,1,,,,,2.6691666666666665,0.0,2,cs,cs,[B.Sc.] Computer Science
S00a315492899b463,3.4,3.343333333333333,2.67,390,0,0,[B.Sc.] Business Administration,60.0,70.0,66.66666666666667,0.0,0,1,1,,,,,3.3348648648648647,0.0,5,ba,ba,[B.Sc.] Business Administration
S00d5db36822dca23,3.04,2.9718181818181817,2.44,231,0,2,[B.Sc.] Computer Science,70.0,80.0,75.0,0.0,0,1,1,,,,,2.9259999999999997,0.0,2,cs,cs,[B.Sc.] Computer Science
S0104b8d59b5cb817,2.31,1.7719607843137255,0.0,765,0,0,[B.Sc.] Business Administration,85.0,80.0,82.5,0.0,0,0,1,,,,,1.5715,1.0,5,ba,ba,[B.Sc.] Business Administration
S0119853eaee4a3c5,3.07,2.815,2.63,20,0,4,[B.Sc.] Electrical/Electronic Engineering,100.0,85.0,91.1111111111111,0.0,0,1,1,,,,,2.63,0.0,1,ee,ee,[B.Sc.] Electrical/Electronic Engineering
S011fae987f9707e3,2.49,2.479047619047619,2.13,84,0,0,[B.Sc.] Business Administration,80.0,75.0,77.5,0.0,0,0,1,,,,,2.350625,0.0,5,ba,ba,[B.Sc.] Business Administration
S01e4fa63186732d0,3.76,3.7523809523809524,3.13,84,0,4,[B.Sc.] Electrical and Electronic Engineering,100.0,100.0,97.77777777777777,0.0,0,1,1,,,,,3.709375,0.0,1,ee,ee,[B.Sc.] Electrical and Electronic Engineering
S026736b16870c241,3.22,3.1843589743589744,2.82,624,0,2,[B.Sc.] Computer Science,100.0,90.0,91.66666666666667,0.0,0,1,1,,,,,3.2276470588235293,0.0,2,cs,cs,[B.Sc.] Computer Science
S02947b236b94ce1f,2.42,2.364333333333333,1.61,210,0,5,[B.Sc.] Business Administration,60.0,70.0,65.0,0.0,0,0,1,,,,,2.5021739130434786,0.0,6,ba,ba,[B.Sc.] Business Administration
