StudentRef,final_cgpa,avg_gpa,last_gpa,total_semesters,final_major,proposed_major,math_score,english_score,composite_score,has_ajc_case,yeargroup,struggling,successful,major_changed,delayed_grad
S00039f6fd1b74390,3.8,3.8033333333333332,3.9,2,6,,80.0,100.0,90.0,0.0,2026,0,1,1,0
S000901505ca1ec7f,3.72,3.69,3.63,1,0,,,,,0.0,2016,0,1,1,0
S0021eb5e8ac9bfec,3.35,3.2911111111111113,3.5,2,5,,75.0,90.0,82.5,0.0,2025,0,1,1,0
S0027200343737e85,3.52,3.126666666666667,0.0,1,2,,,,,0.0,2021,0,1,1,0
S002e2924edb73507,3.21,3.34,3.67,1,0,,,,,0.0,2018,0,1,1,0
S00343a21bff49603,3.44,3.5625,4.0,1,0,,,,,0.0,2017,0,1,1,0
S00351b9aa92d65d6,3.7,3.731111111111111,3.67,2,0,,,,,0.0,2021,0,1,1,0
S00364db68c4f235e,3.44,3.4450000000000003,3.39,2,6,,100.0,100.0,98.8888888888889,0.0,2028,0,1,1,0
S003e475aa47d58dc,3.07,2.98125,2.6,2,2,,100.0,100.0,95.55555555555556,0.0,2025,0,1,1,0
S004a44d4ffc3ea70,3.39,3.3962499999999998,3.38,1,6,,,,,0.0,2023,0,1,1,0
S007ec4aa50afde04,3.41,3.42625,4.0,2,1,,85.0,,90.0,0.0,2024,0,1,1,0
S007f16965d7a9323,3.31,2.9939999999999998,3.5,2,5,,,,,0.0,2022,0,1,1,0
S00811ff3f54f7526,3.88,3.8899999999999997,3.78,1,2,,,,,0.0,2022,0,1,1,0
S008cc478c4b068aa,2.77,2.591111111111111,2.38,2,2,,100.0,90.0,96.66666666666667,0.0,2023,0,0,1,0
S009425864f7953a8,2.58,2.602222222222222,3.3,2,4,,,,,0.0,2020,0,0,1,0
S00a315492899b463,3.4,3.378,3.5,2,0,,60.0,70.0,66.66666666666667,0.0,2023,0,1,1,0
S00b0ed5977e682fe,2.74,2.912,4.0,2,3,,,,,0.0,2027,0,0,1,0
S00d3f377e862fdff,3.23,3.141818181818182,3.25,2,0,,,,,0.0,2021,0,1,1,0
S00d5db36822dca23,3.04,3.064285714285714,4.0,2,2,,70.0,80.0,75.0,0.0,2026,0,1,1,0
S00e2dba8f79a85c3,3.25,3.25,3.25,0,0,,,,,0.0,2022,0,1,1,0
S00ea48612090d518,2.49,2.2653846153846153,3.0,2,0,,,,,1.0,2022,0,0,1,0
S00edea96a80781da,2.77,2.77125,2.88,1,4,,,,,0.0,2022,0,0,1,0
S0104b8d59b5cb817,2.31,1.8593333333333333,3.17,2,0,,85.0,80.0,82.5,0.0,2023,0,0,1,0
S0119853eaee4a3c5,3.07,2.815,3.0,2,4,,100.0,85.0,91.1111111111111,0.0,2028,0,1,1,0
S011fae987f9707e3,2.49,2.485,2.36,2,0,,80.0,75.0,77.5,0.0,2027,0,0,1,0
S013492c95f8de35c,3.0,2.893,3.75,2,2,,,,,0.0,2022,0,1,1,0
S0135013aafd32f75,3.5,3.4875,3.56,2,2,,85.0,100.0,92.5,0.0,2027,0,1,1,0
S0197308ad75e74cb,2.76,2.7800000000000002,2.56,2,0,,,,,0.0,2028,0,0,1,0
S01c1a38d8b404869,2.06,1.8379999999999999,0.75,2,0,,,,,0.0,2027,0,0,1,0
S01cb84ace2cdfdd2,3.19,3.2422222222222223,4.0,2,5,,,,,0.0,2021,0,1,1,0
S01da54e779d55252,3.53,3.535555555555556,3.33,2,6,,,,,0.0,2021,0,1,1,0
S01e4fa63186732d0,3.76,3.7424999999999997,3.95,2,4,,100.0,100.0,97.77777777777777,0.0,2027,0,1,1,0
S022f0d67d2fc1382,3.82,3.83,3.78,2,2,,100.0,90.0,96.66666666666667,0.0,2028,0,1,1,0
S0235f729a56ee731,2.9,2.921111111111111,2.88,2,6,,,,,0.0,2025,0,0,1,0
S02461720ece27247,2.59,2.6933333333333334,3.13,2,1,,,,,0.0,2019,0,0,1,0
S024917b0a2124327,2.69,2.9227272727272724,3.5,2,0,,,,,0.0,2020,0,0,1,0
S024b1f4f1b45a104,3.95,3.95125,4.0,1,2,,,,,0.0,2022,0,1,1,0
S025d093f827774aa,2.36,2.188333333333333,4.0,2,0,,,,,0.0,2017,0,0,1,0
S026736b16870c241,3.22,3.1875,3.25,2,2,,100.0,90.0,91.66666666666667,0.0,2025,0,1,1,0
S026fcab5f837cc46,2.96,3.75,3.5,1,0,,,,,0.0,2015,0,0,1,0
S0272b7926eb03cde,3.22,3.1775,3.25,1,2,,,,,0.0,2022,0,1,1,0
S028f7bfe98f91c5c,3.75,3.763333333333333,3.5,2,1,,,,,0.0,2021,0,1,1,0
